Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2022/2023,""BROWN , JOY ALEXIS"",Extranjero,IDK EUSKOTREN,307,30,222,66,156,94,47,84,5,11,99,76,427,884:06,99 / 223,18 / 52,55 / 84"
"2022/2023,""BUCH ROSELL, ROSO"",Nacional,LOINTEK GERNIKA BIZKAIA,239,30,80,10,70,64,34,50,2,7,50,34,233,746:36,61 / 155,26 / 76,"
"2022/2023,""BUENAVIDA ESTEVEZ, ELENA"",Nacional,VALENCIA B.C.,87,27,26,5,21,27,15,16,3,,25,47,76,382:14,,13 / 36,"
"2022/2023,""BURA, PATRICIA"",Extranjero,LOINTEK GERNIKA BIZKAIA,57,19,70,23,47,9,5,11,3,7,15,22,75,272:16,25 / 66,,"
"2022/2023,""BURANI, AGOSTINA PAOLA"",Extranjero,KUTXABANK ARASKI,132,30,106,25,81,38,11,46,5,7,50,72,123,723:01,,22 / 71,"
"2022/2023,""CANELLA RODRIGUEZ, MARTA"",Nacional,BARÇA CBS,281,30,130,37,93,94,46,74,7,4,104,79,332,717:19,80 / 184,19 / 71,64 / 85"
"2022/2023,""CARDAÑO HILLARY, NICOLE MARIE"",Nacional,IDK EUSKOTREN,162,30,53,14,39,37,24,41,1,6,53,81,93,525:16,38 / 100,17 / 62,"
"2022/2023,""CARLETON, BRIDGET ELIZABETH"",Extranjero,PERFUMERIAS AVENIDA,197,18,88,14,74,26,25,22,5,,40,41,239,445:00,,44 / 82,"
"2022/2023,""CARRERA QUINTANA, RAQUEL"",Nacional,VALENCIA B.C.,244,28,114,39,75,39,38,30,14,3,61,54,320,678:26,89 / 169,,54 / 69"
"2022/2023,""CASAS CARRERAS, QUERALT"",Nacional,VALENCIA B.C.,333,28,154,36,118,77,56,34,4,3,78,21,466,791:40,119 / 242,16 / 45,47 / 76"
"2022/2023,""CASTEDO POTENTE, ESTHER"",Nacional,DURÁN MAQUINARIA ENSINO,125,30,60,10,50,24,23,32,2,2,47,51,79,558:14,21 / 72,20 / 79,"
"2022/2023,""CAZORLA MEDINA, MARIA TERESA"",Nacional,PERFUMERIAS AVENIDA,270,30,67,15,52,114,52,39,2,4,70,51,354,751:38,65 / 131,35 / 93,"
"2022/2023,""CHAGAS, FLORENCIA NATALIA"",Extranjero,KUTXABANK ARASKI,222,30,73,17,56,30,26,63,,9,47,77,76,643:35,31 / 108,45 / 144,"
"2022/2023,""CONDE DURAN, ITSASO"",Nacional,MOVISTAR ESTUDIANTES,20,22,13,8,5,2,1,4,1,1,14,10,17,86:43,,,"
"2022/2023,""CONTELL SANCHIS, CLAUDIA"",Nacional,HOZONO GLOBAL JAIRIS,192,30,72,15,57,46,34,50,6,5,61,65,148,483:46,58 / 150,14 / 58,"
"2022/2023,""CORNELIUS, LAURA"",Extranjero,SPAR GIRONA,74,16,32,5,27,34,12,16,,2,25,35,79,274:08,,11 / 36,"
"2022/2023,""COTANO DE JUAN, REBECA"",Nacional,HOZONO GLOBAL JAIRIS,32,20,11,4,7,4,3,6,1,1,5,10,15,127:58,,,"
"2022/2023,""COULIBALY, MARIAM ALOU"",Extranjero,IDK EUSKOTREN,451,30,268,73,195,33,23,57,14,9,121,67,590,956:08,174 / 336,,103 / 129"
"2022/2023,""COX, LAUREN ELIZABETH"",Extranjero,VALENCIA B.C.,358,30,161,31,130,32,28,46,48,2,44,62,395,717:01,97 / 179,43 / 121,"
"2022/2023,""CRUZ LEBRATO, ANNA"",Nacional,BARÇA CBS,186,29,119,18,101,99,24,56,4,5,60,55,212,737:44,63 / 175,10 / 54,"
"2022/2023,""CRVENDAKIC, ALEKSANDRA"",Extranjero,PERFUMERIAS AVENIDA,182,17,93,23,70,57,13,25,3,2,56,34,243,448:07,53 / 112,17 / 57,"
"2022/2023,""CUIC, CLAUDIA MONICA"",Extranjero,IDK EUSKOTREN,169,15,65,10,55,27,17,25,1,2,40,37,177,438:11,26 / 66,30 / 65,"
"2022/2023,""CVITKOVIC, ANDRIJANA"",Extranjero,LOINTEK GERNIKA BIZKAIA,244,28,136,28,108,18,17,50,6,12,46,92,197,637:36,79 / 162,19 / 57,"
"2022/2023,""DE SANTIAGO OTERO, BEGOÑA"",Nacional,MOVISTAR ESTUDIANTES,49,20,34,7,27,17,9,7,4,,14,23,52,253:06,,,"
"2022/2023,""DE SOUZA MACHADO, ERIKA CRISTINA"",Nacional,HOZONO GLOBAL JAIRIS,163,30,163,58,105,17,16,36,12,3,40,52,239,433:37,69 / 132,,"
"2022/2023,""DELIC, ANDELA"",Extranjero,TENERIFE,102,22,41,18,23,18,15,19,1,4,18,49,61,384:11,28 / 64,11 / 38,"
"2022/2023,""DEMBELE, GNERE ALIMA"",Extranjero,IDK EUSKOTREN,144,23,75,26,49,15,14,22,1,7,35,47,137,411:54,51 / 115,,"
"2022/2023,""DIARRA, MAIMOUNA"",Extranjero,KUTXABANK ARASKI,191,30,217,89,128,11,11,64,19,6,69,57,288,585:25,77 / 152,,37 / 69"
"2022/2023,""DIAZ CASTELLANO, YURENA"",Nacional,IDK EUSKOTREN,131,16,33,6,27,31,14,19,,3,27,35,106,446:32,30 / 67,20 / 52,"
"2022/2023,""DOMINGUEZ FERNANDEZ, SILVIA"",Nacional,PERFUMERIAS AVENIDA,103,22,35,3,32,73,14,31,,2,49,22,148,432:18,,12 / 53,"
"2022/2023,""DRAMMEH, BINTA MOMMY DAISY"",Extranjero,SPAR GIRONA,100,15,43,20,23,9,14,15,2,2,23,27,65,350:02,27 / 65,10 / 52,"
"2022/2023,""DUBNIUK, DARIA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,28,20,9,2,7,7,7,10,1,,5,24,-8,140:16,,,"
"2022/2023,""ERAUNCETAMURGIL AYESTARAN, MARIA"",Nacional,MOVISTAR ESTUDIANTES,270,29,115,33,82,27,32,62,18,4,85,73,261,622:06,98 / 187,,53 / 97"
"2022/2023,""ESPAÑA ALMENDRO, MARIA"",Nacional,IDK EUSKOTREN,367,27,52,6,46,40,26,42,2,3,85,41,321,718:13,56 / 126,65 / 153,60 / 70"
"2022/2023,""ESPIN DE SANCHO, MARIA"",Nacional,MOVISTAR ESTUDIANTES,149,30,55,16,39,20,22,23,3,1,51,48,117,445:54,,26 / 87,"
"2022/2023,""ETXARRI MUNARRIZ, IRATI"",Nacional,SPAR GIRONA,111,20,61,16,45,15,15,18,4,1,17,19,128,385:18,46 / 94,,"
"2022/2023,""EVANS, SHANTE MARIE"",Extranjero,HOZONO GLOBAL JAIRIS,166,19,88,32,56,20,20,51,2,6,81,64,129,409:34,44 / 120,,60 / 94"
"2022/2023,""FALL, SOKHNA ADJI"",Extranjero,SPAR GRAN CANARIA,265,30,214,73,141,29,26,55,7,7,59,82,332,897:31,99 / 178,9 / 33,40 / 68"
"2022/2023,""FAM THIAM, AWA"",Nacional,VALENCIA B.C.,53,15,60,19,41,7,5,8,8,,9,13,99,179:13,,,"
"2022/2023,""FASOULA, MARIA EMMANOUELA"",Extranjero,PERFUMERIAS AVENIDA,278,27,159,51,108,22,10,45,9,4,66,70,329,601:29,121 / 198,,"
"2022/2023,""FIEBICH, LEONIE"",Extranjero,CASADEMONT ZARAGOZA,291,23,141,23,118,35,35,26,8,8,65,42,400,552:49,65 / 109,37 / 94,"
"2022/2023,""FINGALL, NADIA ANGELIQUE"",Extranjero,MOVISTAR ESTUDIANTES,371,30,229,79,150,62,28,73,16,8,96,92,455,875:25,116 / 205,30 / 93,49 / 79"
"2022/2023,""FLORES COSTA, LAIA"",Nacional,SPAR GIRONA,191,30,111,16,95,76,48,41,,3,44,43,259,703:55,32 / 101,33 / 80,"
"2022/2023,""GARCIA SALINERO, LAURA"",Nacional,INNOVA-TSN LEGANES,192,23,69,11,58,50,24,32,1,5,28,20,185,586:39,57 / 142,18 / 53,"
"2022/2023,""GARCIA URLEZAGA, IZASKUN"",Nacional,TENERIFE,83,23,48,10,38,34,30,44,,2,29,16,96,499:29,,14 / 42,"
"2022/2023,""GARDNER, REBEKA JASMINE"",Extranjero,SPAR GIRONA,397,28,136,26,110,82,54,65,12,6,80,52,483,752:23,125 / 231,30 / 74,57 / 68"
"2022/2023,""GATLING, MARKEISHA CHERTE"",Extranjero,CASADEMONT ZARAGOZA,222,20,104,43,61,22,13,42,3,2,53,48,237,433:21,87 / 157,,48 / 67"
"2022/2023,""GELDOF, SERENA LYNN PETRA"",Extranjero,CASADEMONT ZARAGOZA,219,30,118,47,71,24,13,26,8,4,44,63,219,603:55,94 / 192,,"
"2022/2023,""GIMENO MARTINEZ, VEGA"",Nacional,CASADEMONT ZARAGOZA,267,27,124,25,99,56,23,49,2,3,91,38,296,687:48,54 / 117,42 / 138,"
"2022/2023,""GINZO ARANTES, PAULA"",Nacional,DURÁN MAQUINARIA ENSINO,306,26,162,33,129,41,22,44,7,5,70,50,345,726:03,135 / 286,,"
"2022/2023,""GIOMI, LYDIA MORA"",Extranjero,DURÁN MAQUINARIA ENSINO,188,30,151,64,87,8,24,42,4,4,59,79,202,575:38,81 / 165,,"
"2022/2023,""GOMES DA SILVA, SOFIA CAROLINA"",Extranjero,LOINTEK GERNIKA BIZKAIA,149,30,177,62,115,19,19,35,5,2,73,87,221,782:31,55 / 139,,"
"2022/2023,""GONZALEZ DUARTE , LARA"",Nacional,CASADEMONT ZARAGOZA,110,29,52,22,30,34,15,28,1,2,39,40,104,429:28,31 / 75,7 / 33,"
"2022/2023,""GRANDE PARDO, CARMEN"",Nacional,CASADEMONT ZARAGOZA,92,30,59,10,49,41,27,34,4,5,33,48,80,474:24,,15 / 68,"
"2022/2023,""GRETTER, MELISA PAOLA"",Extranjero,MOVISTAR ESTUDIANTES,154,21,90,19,71,110,33,41,1,1,56,44,264,669:48,36 / 88,19 / 55,"
"2022/2023,""GUERRERO ALCANTARA, CAROLINA"",Nacional,BARÇA CBS,184,30,114,44,70,24,21,30,10,1,30,56,185,627:03,61 / 107,15 / 75,"
"2022/2023,""GULBE, ALEKSA"",Extranjero,PERFUMERIAS AVENIDA,136,26,80,25,55,12,10,19,7,1,30,40,142,392:44,38 / 87,12 / 33,"
"2022/2023,""GULICH, MARIE ISABELLE"",Extranjero,VALENCIA B.C.,226,30,152,52,100,43,21,60,31,3,58,64,275,640:06,74 / 151,17 / 59,"
"2022/2023,""HAMBLIN, RUTH ELIZABETH"",Extranjero,BARÇA CBS,272,28,233,76,157,18,17,62,18,9,64,40,360,757:55,119 / 262,,"
"2022/2023,""HERMIDA HERRAEZ, MARTA"",Nacional,INNOVA-TSN LEGANES,344,26,127,19,108,96,47,88,2,9,119,60,365,860:48,61 / 164,47 / 147,81 / 100"
"2022/2023,""HIGGS, LASHANN AISHA"",Extranjero,HOZONO GLOBAL JAIRIS,270,22,61,15,46,38,29,42,3,5,57,45,211,544:17,86 / 188,18 / 60,44 / 60"
"2022/2023,""HOLESINSKA, PETRA"",Extranjero,SPAR GRAN CANARIA,455,30,160,26,134,77,35,94,2,15,168,91,444,1074:53,62 / 184,77 / 189,100 / 134"
"2022/2023,""HOLLIVAY, RACHEL LASHAWN"",Extranjero,SPAR GRAN CANARIA,214,26,169,30,139,34,9,76,14,5,58,76,186,703:57,81 / 209,,52 / 82"
"2022/2023,""HOLOPAINEN, ANNIKA ALEXANDRA"",Extranjero,KUTXABANK ARASKI,104,21,55,22,33,15,9,25,2,6,27,38,64,393:40,21 / 65,16 / 52,"
"2022/2023,""JAMES, KAI AFI"",Extranjero,TENERIFE,239,26,173,40,133,30,10,57,6,6,55,69,199,622:56,99 / 262,,"
"2022/2023,""JANKOVIC, MASA"",Extranjero,INNOVA-TSN LEGANES,133,17,77,23,54,20,22,25,5,5,28,38,137,418:56,54 / 115,,"
"2022/2023,""JEZ, SILVANA"",Extranjero,INNOVA-TSN LEGANES,28,16,24,7,17,5,5,6,,,2,20,-5,207:43,,,"
"2022/2023,""KOENEN, TAYLOR SUE"",Extranjero,INNOVA-TSN LEGANES,92,15,67,23,44,16,11,23,1,4,12,30,69,366:56,30 / 67,8 / 44,"
"2022/2023,""KONE , SIKA"",Extranjero,SPAR GRAN CANARIA,524,30,425,121,304,40,16,89,10,13,164,72,829,1090:26,190 / 322,,132 / 168"
"2022/2023,""KONIG, AISLINN CHIA PI"",Extranjero,HOZONO GLOBAL JAIRIS,162,18,19,6,13,29,15,18,2,4,9,20,75,434:09,,39 / 128,"
"2022/2023,""KOVACEVIC, BOJANA"",Extranjero,CADI LA SEU,146,27,87,11,76,38,20,30,2,2,28,34,173,465:01,28 / 68,20 / 61,"
"2022/2023,""LABUCKIENE, GIEDRE"",Extranjero,SPAR GIRONA,169,29,106,31,75,30,15,25,23,5,54,55,228,523:04,59 / 134,,"
"2022/2023,""LACORZANA GERVASINI, AINHOA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,273,28,87,25,62,78,30,67,4,2,97,51,291,579:55,73 / 155,21 / 76,64 / 87"
"2022/2023,""LAMANA LLOBERA, LAIA"",Nacional,VALENCIA B.C.,57,18,16,1,15,20,11,12,1,4,15,28,43,212:20,,,"
"2022/2023,""LEZIN, PRESCILLA SHANON"",Extranjero,INNOVA-TSN LEGANES,113,28,66,32,34,29,23,42,2,7,27,65,66,652:05,34 / 87,10 / 36,"
"2022/2023,""LIZARAZU HERRERA, MARINA"",Nacional,HOZONO GLOBAL JAIRIS,53,17,23,7,16,23,5,25,,,17,32,10,274:03,,,"
"2022/2023,""LLOBET CODERCH, ITZIAR"",Nacional,BARÇA CBS,52,22,35,14,21,27,14,19,,1,15,51,7,325:36,,9 / 51,"
"2022/2023,""LOPEZ RODRIGUEZ, AINHOA"",Nacional,BARÇA CBS,157,30,63,10,53,52,32,41,1,6,43,64,104,549:22,44 / 116,15 / 68,"
"2022/2023,""LOPEZ TOBI, IHO"",Nacional,TENERIFE,83,27,101,33,68,26,14,18,7,3,21,50,117,486:08,37 / 96,,"
"2022/2023,""LOPEZ VIVES, HELENA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,182,30,56,12,44,38,15,35,2,3,54,70,109,645:53,22 / 75,35 / 112,"
"2022/2023,""MARTIAÑEZ VENDRELL, MARIA"",Nacional,DURÁN MAQUINARIA ENSINO,76,28,54,15,39,14,9,8,6,1,20,21,84,341:23,21 / 61,7 / 30,"
"2022/2023,""MASSEY, BECKY ERNA"",Extranjero,MOVISTAR ESTUDIANTES,197,30,92,23,69,52,9,49,9,6,50,58,177,630:00,59 / 134,17 / 59,"
"2022/2023,""MASSEY, BILLIE KIM"",Extranjero,MOVISTAR ESTUDIANTES,189,30,149,44,105,32,26,31,22,5,40,51,254,597:38,53 / 120,18 / 53,"
"2022/2023,""MENDEZ CAMPS, LAURA"",Nacional,MOVISTAR ESTUDIANTES,233,30,75,9,66,104,25,57,5,5,59,50,261,775:25,55 / 143,25 / 62,"
"2022/2023,""MESKONYTE , GABIJA"",Extranjero,LOINTEK GERNIKA BIZKAIA,141,28,58,17,41,10,17,23,1,4,23,21,118,446:55,52 / 110,,"
"2022/2023,""MILLER, CHERIN BRITANY"",Extranjero,DURÁN MAQUINARIA ENSINO,49,20,45,24,21,6,4,11,5,2,17,26,60,138:44,,,"
"2022/2023,""MIRCHEVA, VIKTORIA VLADIMIROVNA"",Extranjero,BARÇA CBS,142,29,41,5,36,13,6,23,1,2,18,41,42,356:50,25 / 67,29 / 101,"
"2022/2023,""MOLLENHAUER, ALEXANDRA JOY"",Extranjero,MOVISTAR ESTUDIANTES,278,30,110,34,76,39,21,32,6,7,37,42,268,676:16,45 / 106,57 / 138,"
"2022/2023,""MONTENEGRO SANTANA, RITA ESTHER"",Nacional,TENERIFE,98,24,74,10,64,25,11,28,1,2,11,37,97,414:08,,21 / 49,"
"2022/2023,""MOYA BLANCH, LAIA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,37,26,21,4,17,6,6,13,1,,8,26,16,198:17,,,"
"2022/2023,""MUHATE PEÑA, CECILIA"",Nacional,INNOVA-TSN LEGANES,195,25,149,32,117,28,14,35,12,5,31,62,201,756:13,88 / 200,,"
"2022/2023,""MURPHY, ESHAYA MARIE"",Extranjero,SPAR GIRONA,219,27,77,22,55,23,21,20,,3,20,46,186,518:56,50 / 103,32 / 83,"
"2022/2023,""NESBITT, VALERIE ADRIANNA"",Extranjero,SPAR GRAN CANARIA,130,18,43,5,38,51,15,49,1,6,47,54,59,418:53,33 / 94,12 / 58,"
"2022/2023,""NOGIC, JOVANA"",Extranjero,PERFUMERIAS AVENIDA,171,26,52,9,43,26,8,23,2,1,26,32,142,409:06,,35 / 89,"
"2022/2023,""OLAETA LARRAURI, ANE"",Nacional,DURÁN MAQUINARIA ENSINO,164,30,69,7,62,66,21,62,,6,30,55,121,602:00,48 / 113,20 / 62,"
"2022/2023,""OMA GIRALT, HELENA"",Nacional,CASADEMONT ZARAGOZA,212,30,106,22,84,36,27,37,4,5,34,56,195,740:33,46 / 110,32 / 92,"
"2022/2023,""ONYENWERE, MICHAELA NNE"",Extranjero,PERFUMERIAS AVENIDA,125,17,53,14,39,17,10,20,3,7,30,42,106,386:31,39 / 77,8 / 35,"
"2022/2023,""ORTIZ VIVES, MARIONA"",Nacional,CASADEMONT ZARAGOZA,196,30,138,22,116,135,31,63,11,3,61,59,343,763:07,57 / 117,15 / 50,"
"2022/2023,""OUVIÑA MODREGO, CRISTINA"",Nacional,VALENCIA B.C.,153,21,75,16,59,74,48,29,1,3,40,29,225,452:50,31 / 96,24 / 59,"
"2022/2023,""PALENIKOVA, TEREZIA"",Extranjero,TENERIFE,254,24,51,12,39,22,18,36,,4,60,30,180,614:59,63 / 157,28 / 82,"
"2022/2023,""PALMA JORGE, ANA MARIA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,176,30,114,32,82,29,12,36,4,7,39,30,140,783:21,40 / 135,28 / 90,"
"2022/2023,""PARRA, FAUSTINE LAURE CLEMENCE"",Extranjero,SPAR GIRONA,116,26,29,10,19,21,13,10,,,12,28,85,335:35,,31 / 78,"
"2022/2023,""PEREZ ARAUJO, MARIA"",Nacional,SPAR GIRONA,196,23,173,42,131,32,18,41,5,8,48,27,261,593:51,51 / 124,18 / 79,"
"2022/2023,""PEÑA JUBANY, LAURA"",Nacional,CADI LA SEU,221,20,98,14,84,69,27,38,1,5,54,33,284,523:40,24 / 61,46 / 113,"
"2022/2023,""PIERRE LOUIS, VIONISE ARONS"",Extranjero,INNOVA-TSN LEGANES,414,28,217,75,142,57,27,61,15,9,125,76,534,826:04,156 / 301,,102 / 138"
"2022/2023,""PIRTTINEN, VEERA ANNIKA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,130,29,46,13,33,19,12,32,3,,35,43,93,456:16,,25 / 77,"
"2022/2023,""PRIETO MARTINEZ, ALBA"",Nacional,DURÁN MAQUINARIA ENSINO,357,30,130,11,119,102,57,88,,9,114,75,404,990:06,89 / 196,28 / 88,95 / 121"
"2022/2023,""PUJOL LLUCH, ARIADNA"",Nacional,CADI LA SEU,50,22,36,11,25,21,12,22,,10,35,31,56,253:20,,,"
"2022/2023,""PULLIAM, LINDSEY DENISE"",Extranjero,MOVISTAR ESTUDIANTES,98,15,38,7,31,9,10,18,2,2,22,31,49,284:58,22 / 70,12 / 38,"
"2022/2023,""RAKOVIC , KRISTINA"",Extranjero,BARÇA CBS,239,30,84,41,43,32,21,55,,5,78,71,209,658:56,67 / 133,21 / 58,"
"2022/2023,""RAKSANYI, KRISZTINA"",Extranjero,TENERIFE,174,30,53,10,43,52,28,46,,2,37,70,118,722:43,41 / 101,24 / 71,"
"2022/2023,""RAMETTE, ELISE CLAUDINE"",Extranjero,CADI LA SEU,118,30,63,20,43,69,45,49,4,4,54,66,150,553:22,32 / 71,9 / 47,"
"2022/2023,""RAVENTOS ROIG, LAIA"",Nacional,CADI LA SEU,254,30,68,12,56,54,25,57,,6,60,68,161,666:55,57 / 137,35 / 122,"
"2022/2023,""REISINGEROVA , JULIA SUSSANE"",Extranjero,PERFUMERIAS AVENIDA,218,26,91,23,68,15,13,36,8,,68,79,213,458:01,84 / 140,,"
"2022/2023,""RODRIGUEZ DOMINGUEZ, NATALIA"",Nacional,IDK EUSKOTREN,158,30,77,24,53,32,17,20,5,2,39,39,178,643:38,25 / 61,30 / 81,"
"2022/2023,""RODRIGUEZ MANSO, LEONOR DEL PILAR"",Nacional,PERFUMERIAS AVENIDA,183,30,70,16,54,58,27,30,,4,39,33,192,600:55,48 / 111,22 / 73,"
"2022/2023,""ROMERO GONZALEZ, LETICIA"",Nacional,VALENCIA B.C.,280,29,100,18,82,85,28,40,1,3,71,44,355,640:09,66 / 137,32 / 79,52 / 60"
"2022/2023,""ROUNDTREE, MARGARET YVETTE"",Extranjero,DURÁN MAQUINARIA ENSINO,215,29,92,28,64,31,18,46,1,2,56,49,177,661:58,77 / 182,,46 / 64"
"2022/2023,""RUEDA CHONI, JULIA MARIA"",Nacional,BARÇA CBS,33,29,33,15,18,20,13,16,2,1,24,33,36,228:22,,,"
"2022/2023,""SALVADORES ALVAREZ, ANGELA"",Nacional,VALENCIA B.C.,278,30,58,9,49,41,39,37,1,9,58,39,205,604:41,78 / 193,27 / 92,"
"2022/2023,""SANCHEZ FERNANDEZ-SATORRE, CONCEPCION"",Nacional,TENERIFE,77,18,34,8,26,21,8,23,,5,29,38,36,332:39,19 / 65,,"
"2022/2023,""SANCHEZ RAMOS PEREDA, ALBA"",Nacional,INNOVA-TSN LEGANES,70,24,46,12,34,13,12,23,1,3,15,34,39,360:45,,7 / 30,"
"2022/2023,""SCAIFE, TYLER C"",Extranjero,SPAR GRAN CANARIA,228,20,44,9,35,24,13,37,5,2,37,19,149,516:24,70 / 164,18 / 62,"
"2022/2023,""SEDA, TAMARA ADELAIDE JOSE CAMACHO"",Extranjero,HOZONO GLOBAL JAIRIS,204,30,202,77,125,21,27,83,5,11,60,75,231,680:20,88 / 198,,"
"2022/2023,""SEGURA MORENO, LORENA"",Nacional,DURÁN MAQUINARIA ENSINO,85,28,66,28,38,20,8,20,,4,23,40,74,441:59,,9 / 50,"
"2022/2023,""SHEPPARD, AISHA MARIE"",Extranjero,TENERIFE,403,25,87,11,76,36,23,64,3,11,116,65,319,770:04,63 / 154,67 / 179,76 / 93"
"2022/2023,""SILVA SERRANO , ROSELIS CAROLINA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,198,30,136,17,119,95,64,52,4,9,68,59,327,690:44,57 / 118,18 / 72,"
"2022/2023,""SOLER RAMIÓ, JÚLIA"",Nacional,CADI LA SEU,116,30,80,13,67,27,25,30,3,1,30,58,112,450:03,33 / 67,14 / 59,"
"2022/2023,""SORIANO CUESTA, CRISTINA"",Nacional,IDK EUSKOTREN,29,26,23,6,17,5,3,7,3,2,6,25,16,216:39,,,"
"2022/2023,""SPREAFICO, LAURA"",Extranjero,LOINTEK GERNIKA BIZKAIA,321,30,43,14,29,23,14,38,2,10,62,70,196,729:33,,79 / 188,"
"2022/2023,""STRAUTMANE, PAULA"",Extranjero,CADI LA SEU,169,28,108,40,68,33,30,31,3,4,28,74,189,624:03,42 / 74,24 / 64,"
"2022/2023,""SYKES, BRITTNEY CHRISANTI"",Extranjero,SPAR GIRONA,242,18,85,22,63,55,43,38,9,2,76,39,320,528:07,82 / 155,11 / 31,45 / 65"
"2022/2023,""TATE, IMANI TY LEAH"",Extranjero,CASADEMONT ZARAGOZA,315,30,116,40,76,47,38,66,2,7,92,78,298,715:18,91 / 183,19 / 67,76 / 104"
"2022/2023,""TOLO, MARIANNA"",Extranjero,SPAR GIRONA,339,29,133,42,91,43,25,51,22,5,111,71,448,735:11,128 / 217,,83 / 96"
"2022/2023,""TORRENS SALOM, ALBA"",Nacional,VALENCIA B.C.,140,17,58,9,49,37,8,10,,1,18,18,170,321:53,,20 / 60,"
"2022/2023,""TUNSTULL, JEWEL JOYCE"",Extranjero,CADI LA SEU,282,30,132,31,101,12,12,60,11,8,83,76,269,674:37,119 / 226,,"
"2022/2023,""VAN DEN ADEL, NATALIE ISABELLE"",Extranjero,KUTXABANK ARASKI,234,30,143,29,114,61,20,83,4,5,57,59,204,817:36,55 / 149,26 / 85,46 / 66"
"2022/2023,""VILARO ARAGONES, ANDREA"",Nacional,PERFUMERIAS AVENIDA,162,30,106,13,93,56,38,14,1,2,35,53,232,650:02,,30 / 90,"
